ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"181.129.52.155","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","161","EPM Telecomunicaciones S.A. E.S.P","44665","socks4","1003","1","2023-02-24T17:08:09.647Z","98","998","1021"
"212.83.143.211","elite","AS12876","FR","Online S.A.S.","1","ONLINE","47953","socks4","1129","1","2023-02-24T17:08:09.425Z","100","1085","1086"
"80.92.227.185","elite","AS1820","UA","WNET TELECOM USA Corp.","50","Wnet LLC","5678","socks4","822","1","2023-02-24T17:08:09.037Z","95","957","1005"
"91.233.75.141","elite","AS57592","PL","Syrion Sp. z o.o.","51","Syrion Sp. z o.o","5678","socks4","1146","1","2023-02-24T17:08:09.424Z","93","992","1066"
"177.234.212.91","anonymous","AS264668","EC","Nedetel S.A.","157","Nedetel S.A","999","http","898","759","2023-02-24T17:08:09.424Z","100","1001","1003"
"170.80.91.10","elite","AS264820","CR","Corebases S.A","147","Corebases S.A","4145","socks4","659","1","2023-02-24T17:08:09.763Z","100","1118","1119"
"1.9.167.36","elite","AS4788","MY","Tmnet, Telekom Malaysia Bhd.","179","Tmnet, Telekom Malaysia Bhd","60489","socks4","1036","1","2023-02-24T17:08:09.646Z","100","1119","1121"
"146.19.191.116","elite","AS49581","DE","Ferdinand Zink trading as Tube-Hosting","15","www.unixserv.eu","1080","socks5","487","1","2023-02-24T17:08:09.798Z","96","1013","1051"
"192.99.13.83","elite","AS16276","CA","OVH SAS","89","OVH Hosting, Inc.","45250","socks5","685","1","2023-02-24T17:08:09.782Z","100","1054","1058"
"183.88.70.114","elite","AS45629","TH","Triple T Broadband Public Company Limited","151","Triple T Broadband Public Company Limited","8080","socks4","674","1","2023-02-24T17:08:09.762Z","97","1052","1085"
"193.233.148.216","elite","AS205628","RU","OOO MIG-Service Centre","53","OOO MIG-Service Centre","5678","socks4","747","1","2023-02-24T17:08:09.760Z","99","1108","1115"
"196.15.237.171","elite","AS5713","ZA","Telkom SA Ltd.","410","Telkom SA Ltd","1888","socks4","667","1","2023-02-24T17:08:09.763Z","84","878","1043"
"116.204.228.158","elite","AS58689","BD","ICC Communication Ltd","179","ICC Communication Ltd.","4145","socks4","996","1","2023-02-24T17:08:09.648Z","99","1067","1076"
"194.87.58.16","elite","AS208685","NL","Serverius Holding B.V.","1","VictoryWillbeours","80","socks4","521","1","2023-02-24T17:08:09.797Z","100","1096","1096"
